State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Telangana,Nagarkurnool,694,Achampet,4579,Ainole,ఐనొలె,transliterated,575646,509375,,
Telangana,Suryapet,696,Atmakur (S),4622,Aipoor,ఐపూర్,transliterated,576629,508221,,
Telangana,Nagarkurnool,694,Tadoor,4582,Aithole,ఐథొలె,transliterated,575700,509209,,
Telangana,Jagitial,681,Pegadapalli,4421,Aithupalli,ఐథుపల్లి,transliterated,572195,505531,,
Telangana,Nalgonda,514,Kattangur,4635,Aiti Pamula,ఐతి పముల,transliterated,576912,508205,,
Telangana,Nagarkurnool,694,Veldanda,4565,Ajilapur,అజిలపూర్,transliterated,575314,509360,,
Telangana,Mahabubnagar,512,Devarakadra,4573,Ajilapur,అజిలపూర్,transliterated,575513,509204,,
Telangana,Medak,513,Chilpched,6274,Ajjamarri,అజ్జమర్రి,transliterated,573546,502314,,
Telangana,Ranga Reddy,518,Maheshwaram,4544,Akanpalle,అకంపల్లె,transliterated,574779,509325,,
Telangana,Siddipet,692,Dubbak,4458,Akaram,అకరమ్,transliterated,572950,502108,,
Telangana,Nalgonda,514,Shaligouraram,4624,Akaram,అకరమ్,transliterated,576662,508210,,
Telangana,Nizamabad,516,Rudrur,6240,Akbar Nagar,అక్బర్ నగర్,transliterated,571193,503188,,
Telangana,Ranga Reddy,518,Abdullapurmet,6319,Akbarja,అక్బర్జ,transliterated,574185,501505,,
Telangana,Medchal Malkajgiri,700,Alwal,6328,Akbarja,అక్బర్జ,transliterated,931496,500010,,
Telangana,Medchal Malkajgiri,700,Medchal,4519,Akbarjapet,అక్బర్జపెత్,transliterated,574092,501401,,
Telangana,Ranga Reddy,518,Kandukur,4545,Akberja,అక్బెర్జ,transliterated,574818,501359,,
Telangana,Mancherial,684,Bellampally,4350,Akenipalle,అకెనిపల్లె,transliterated,570520,504251,,
Telangana,Peddapalli,682,Anthergaon,6214,Akenpalli,అకెంపల్లి,transliterated,571746,505514,,
Telangana,Jayashankar Bhupalapally,687,Mogullapally,4680,Akinepalle,అకినెపల్లె,transliterated,577773,506366,,
Telangana,Mulugu,720,Mangapet,4686,Akinepalle Mallaram,అకినెపల్లె మల్లరమ్,transliterated,577947,506172,,
Telangana,Bhadradri Kothagudem,690,Dammapeta,4750,Akinepalli,అకినెపల్లి,transliterated,579559,507306,,
Telangana,Kumuram Bheem Asifabad,699,Wankidi,4314,Akini,అకిని,transliterated,569317,504295,,
Telangana,Mahabubnagar,512,Koilkonda,4569,Akkaipalle,అక్కైపల్లె,transliterated,575437,509371,,
Telangana,Mancherial,684,Bheemini,4328,Akkalapalle,అక్కలపల్లె,transliterated,569810,504273,,
Telangana,Warangal,522,Chennaraopet,4712,Akkalchedu,అక్కల్చెదు,transliterated,578483,506332,,
Telangana,Kamareddy,685,Nagireddypet,4387,Akkampalle,అక్కంపల్లె,transliterated,571487,503108,,
Telangana,Siddipet,692,Nangnoor,4461,Akkanepalle,అక్కనెపల్లె,transliterated,573040,502280,,
Telangana,Medak,513,Ramayampet,4457,Akkannapet,అక్కన్నపెత్,transliterated,572933,502115,,
Telangana,Siddipet,692,Akkannapet,6285,Akkannapeta,అక్కన్నపేట,transliterated,572624,505466,,
Telangana,Mancherial,684,Chennur,4356,Akkapalle,అక్కపల్లె,transliterated,570658,504201,,
Telangana,Rajanna Sircilla,683,Yellareddipet,4432,Akkapalli,అక్కపల్లి,transliterated,572400,505303,,
Telangana,Nirmal,680,Nirmal Rural,6210,Akkapur,అక్కపూర్,transliterated,570357,504106,,
Telangana,Kamareddy,685,Machareddy,4380,Akkapur,అక్కపూర్,transliterated,571284,503144,,
Telangana,Siddipet,692,Gajwel,4483,Akkaram,అక్కరమ్,transliterated,573636,502311,,
