State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Kerala,Thiruvananthapuram,565,Chirayinkeezhu,5689,Kunthallur,കുന്തല്ലൂർ,transliterated,913841,695304,,
Kerala,Wayanad,567,Sulthanbathery,5636,Kuppadi,കുപ്പാടി,transliterated,627318,673592,,
Kerala,Pathanamthitta,564,Adoor,5683,Kurampala,കുറംപാല,transliterated,628344,689501,,
Kerala,Alappuzha,554,Chengannur,5677,Kurattissery (Ct),കുറട്ടിശ്ശേരി (സിടി),transliterated,628277,689622,,
Kerala,Kottayam,560,Meenachil,5668,Kuravilangad,കുറവിലങ്ങാട്,authoritative,628128,686633,,
Kerala,Ernakulam,555,Kanayannur,5661,Kureekkad (Ct),കുറീക്കാട് (സിടി),transliterated,628014,682305,,
Kerala,Thrissur,566,Thrissur,5654,Kurichikkara (Ct),കുറിച്ചിക്കര (സിടി),transliterated,627836,680028,,
Kerala,Kottayam,560,Meenachil,5668,Kurichithanam,കുറിച്ചിത്താനം,authoritative,628127,686634,,
Kerala,Thrissur,566,Talappilly,5652,Kurumala,കുരുമല,authoritative,627749,680586,,
Kerala,Malappuram,562,Tirur,5644,Kurumbathur,കുറുമ്പത്തൂർ,transliterated,627522,676301,,
Kerala,Malappuram,562,Nilambur,5642,Kurumbilangode,കുറുമ്പിലങ്ങോട്,transliterated,627472,679334,,
Kerala,Thrissur,566,Thrissur,5654,Kurumpilavu (Ct),കുറുമ്പിളവ് (സിടി),transliterated,627867,680564,,
Kerala,Thiruvananthapuram,565,Nedumangad,5690,Kurupuzha,കുറുപുഴ,transliterated,628486,695562,,
Kerala,Kozhikode,561,Kozhikode,5640,Kuruvattur (Ct),കുറുവട്ടൂർ (സിടി),transliterated,627425,673611,,
Kerala,Thrissur,566,Chalakkudy,5939,Kuruvilassery,കുരുവിളശ്ശേരി,transliterated,627916,680732,,
Kerala,Palakkad,563,Alathur,5651,Kuthannur-I,കുത്തന്നൂർ-ഇ,transliterated,627694,678721,,
Kerala,Palakkad,563,Alathur,5651,Kuthannur-Ii,കുത്തന്നൂർ-ഐ,transliterated,627695,678722,,
Kerala,Alappuzha,554,Cherthala,5673,Kuthiathode (Ct),കുത്തിയതോടെ (സിടി),transliterated,628219,688540,,
Kerala,Kannur,557,Thalassery,5634,Kuthuparamba,കുത്തുപറമ്പ,transliterated,913030,670643,,
Kerala,Ernakulam,555,Kothamangalam,5663,Kuttamangalam,കുറ്റമംഗലം,transliterated,628043,686693,,
Kerala,Ernakulam,555,Kothamangalam,5663,Kuttampuzha,കുട്ടമ്പുഴ,authoritative,628041,686681,,
Kerala,Pathanamthitta,564,Thiruvalla,5679,Kuttappuzha,കുട്ടപ്പുഴ,transliterated,913822,689103,,
Kerala,Kozhikode,561,Vatakara,5638,Kuttiadi,കുറ്റ്യാടി,authoritative,627351,673508,,
Kerala,Kannur,557,Taliparamba,5632,Kuttiattoor (Ct),കുറ്റിയറ്റൂർ (സിടി),transliterated,627213,670602,,
Kerala,Thrissur,566,Chalakkudy,5939,Kuttichira,കുറ്റിച്ചിറ,transliterated,627901,680724,,
Kerala,Kozhikode,561,Kozhikode,5640,Kuttikkattoor (Ct),കുട്ടിക്കാട്ടൂർ (സിടി),transliterated,627431,673611,,
Kerala,Kasaragod,558,Kasaragod,5630,Kuttikole,കുട്ടിക്കോളെ,transliterated,627116,671541,,
Kerala,Malappuram,562,Tirur,5644,Kuttippuram (Ct),കുട്ടിപ്പുറം (സിടി),transliterated,627537,679571,,
Kerala,Kannur,557,Taliparamba,5632,Kuttiyeri,കുട്ടിയേരി,transliterated,627195,670142,,
Kerala,Kannur,557,Payyannur,6599,Kuttoor,കുറ്റൂർ,authoritative,627183,670306,,
Kerala,Pathanamthitta,564,Thiruvalla,5679,Kuttoor,കുറ്റൂർ,authoritative,628297,689106,,
