State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Karnataka,Uttara Kannada,550,Kumta,5485,Abbolli,ಅಬ್ಬೊಲ್ಲಿ,transliterated,603519,581323,Rural,Inhabitant
Karnataka,Bengaluru South,631,Channapatna,5607,Abbur,ಅಬ್ಬುರ್,transliterated,626242,562108,Rural,Inhabitant
Karnataka,Mysuru,545,Piriyapatna,5569,Abbur,ಅಬ್ಬುರ್,transliterated,618272,571107,Urban,Inhabitant
Karnataka,Hassan,539,Arkalgud,5558,Abbur Machagowdanahalli,ಅಬ್ಬುರ್ ಮಚಗೊವ್ದನಹಳ್ಳಿ,transliterated,616539,573102,Rural,Inhabitant
Karnataka,Mysuru,545,Hunsur,5570,Abburu,ಅಬ್ಬುರು,transliterated,618384,571106,Rural,Inhabitant
Karnataka,Mysuru,545,Saligrama,7230,Abburu,ಅಬ್ಬುರು,transliterated,618594,571617,Rural,Inhabitant
Karnataka,Chitradurga,533,Holalkere,5506,Abradasikatte,ಅಬ್ರದಸಿಕತ್ತೆ,transliterated,605672,577531,Rural,Inhabitant
Karnataka,Chikkamagaluru,532,Mudigere,5531,Abrugodige Estate,ಅಬ್ರುಗೊದಿಗೆ ಎಸ್ತತೆ,transliterated,609915,577121,Rural,Inhabitant
Karnataka,Kodagu,541,Kushalnagar,7124,Abyathamangala,ಅಬ್ಯಥಮಂಗಲ,transliterated,617991,571253,Rural,Inhabitant
Karnataka,Chikkaballapura,630,Chelur,7407,Achaganapalli,ಅಚಗನಪಲ್ಲಿ,transliterated,623909,563159,Rural,Inhabitant
Karnataka,Udupi,549,Brahmavara,7068,Achalady,ಅಚಲದ್ಯ್,transliterated,608771,576225,Rural,Inhabitant
Karnataka,Koppal,543,Gangawati,5466,Achalapur,ಅಚಲಪುರ,transliterated,601654,583268,Rural,Inhabitant
Karnataka,Koppal,543,Koppal,5467,Achalapur,ಅಚಲಪುರ,transliterated,601839,583226,Rural,Inhabitant
Karnataka,Bengaluru South,631,Kanakapura,5608,Achalu,ಅಚಲು,transliterated,626529,562117,Rural,Inhabitant
Karnataka,Bengaluru South,631,Ramanagara,5606,Achalu,ಅಚಲು,transliterated,626161,562159,Rural,Inhabitant
Karnataka,Bengaluru South,631,Ramanagara,5606,Achalu Forest,ಅಚಲು ಫೊರೆಸ್ತ್,transliterated,626167,562159,Urban,Inhabitant
Karnataka,Mandya,544,Krishnarajpet,5546,Achamanahalli,ಅಚಮನಹಳ್ಳಿ,transliterated,613422,571436,Rural,Inhabitant
Karnataka,Belagavi,527,Savadatti,5441,Achamatti,ಅಚಮತ್ತಿ,transliterated,598286,591110,Rural,Inhabitant
Karnataka,Tumakuru,548,Pavagada,5534,Achammanahalli,ಅಚಂಮನಹಳ್ಳಿ,transliterated,610529,572141,Rural,Inhabitant
Karnataka,Kolar,542,Mulbagal,5594,Achampalli,ಅಚಂಪಲ್ಲಿ,transliterated,623181,563136,Rural,Inhabitant
Karnataka,Kolar,542,Srinivaspur,5590,Achampalli,ಅಚಂಪಲ್ಲಿ,transliterated,621714,563138,Rural,Inhabitant
Karnataka,Hassan,539,Sakleshpur,5553,Achanahalli,ಅಚನಹಳ್ಳಿ,transliterated,614855,573165,Rural,Inhabitant
Karnataka,Uttara Kannada,550,Sirsi,5483,Achanalli,ಅಚನಲ್ಲಿ,transliterated,603208,581402,Rural,Inhabitant
Karnataka,Hassan,539,Sakleshpur,5553,Achangi,ಅಚಂಗಿ,transliterated,614885,573127,Both,Inhabitant
Karnataka,Bagalkote,524,Bagalkot,5447,Achanur,ಅಚನುರ್,transliterated,598827,587111,Rural,Inhabitant
Karnataka,Mandya,544,Shrirangapattana,5549,Achappana Koppalu,ಅಚಪ್ಪನ ಕೊಪ್ಪಲು,transliterated,614217,571427,Rural,Inhabitant
Karnataka,Shivamogga,547,Sagar,5515,Achapura,ಅಚಪುರ,transliterated,607295,577412,Rural,Inhabitant
Karnataka,Hassan,539,Sakleshpur,5553,Acharadi,ಅಚರದಿ,transliterated,614846,573134,Rural,Inhabitant
Karnataka,Bengaluru Rural,526,Doddaballapura,5602,Acharlahalli,ಅಚರ್ಲಹಳ್ಳಿ,transliterated,625058,561203,Rural,Inhabitant
Karnataka,Koppal,543,Gangawati,5466,Acharnarsapur,ಅಚರ್ನರ್ಸಪುರ,transliterated,601651,583268,Rural,Inhabitant
Karnataka,Koppal,543,Koppal,5467,Achartimmapur,ಅಚರ್ತಿಂಮಪುರ,transliterated,601789,583283,Rural,Inhabitant
Karnataka,Kolar,542,Kolar,5591,Achatnahalli,ಅಚತ್ನಹಳ್ಳಿ,transliterated,621834,563133,Rural,Inhabitant
Karnataka,Chamarajanagar,531,Chamarajanagar,5577,Achattipura,ಅಚತ್ತಿಪುರ,transliterated,619732,571127,Rural,Inhabitant
Karnataka,Uttara Kannada,550,Ankola,5484,Achave,ಅಚವೆ,transliterated,603401,581344,Rural,Inhabitant
Karnataka,Tumakuru,548,Madhugiri,5535,Achenahalli,ಅಚೆನಹಳ್ಳಿ,transliterated,610802,572132,Rural,Inhabitant
Karnataka,Chikkaballapura,630,Bagepalli,5598,Achepalli,ಅಚೆಪಲ್ಲಿ,transliterated,623889,561207,Rural,Inhabitant
Karnataka,Koppal,543,Kushtagi,5465,Achnoor,ಅಚ್ನೂರ್,transliterated,601376,583280,Rural,Inhabitant
Karnataka,Yadgir,635,Yadgir,5589,Achola,ಅಚೊಲ,transliterated,621225,585214,Rural,Inhabitant
Karnataka,Davanagere,535,Nyamathi,7076,Achuthapura,ಅಚುಥಪುರ,transliterated,606838,577230,Rural,Un-Inhabitant
Karnataka,Shivamogga,547,Shivamogga,5520,Adagadi,ಅದಗದಿ,transliterated,608380,577211,Rural,Inhabitant
Karnataka,Bagalkote,524,Badami,5446,Adagal,ಅದಗಲ್,transliterated,598748,587201,Rural,Inhabitant
Karnataka,Shivamogga,547,Hosanagara,5518,Adagalale,ಅದಗಲಲೆ,transliterated,938589,577452,Rural,Inhabitant
Karnataka,Shivamogga,547,Sagar,5515,Adagalale,ಅದಗಲಲೆ,transliterated,607359,577453,Rural,Inhabitant
Karnataka,Mysuru,545,Krishnarajanagara,5571,Adaganahalli,ಅದಗನಹಳ್ಳಿ,transliterated,618654,571602,Rural,Inhabitant
Karnataka,Shivamogga,547,Shikarpur,5517,Adaganti,ಅದಗಂತಿ,transliterated,607731,577428,Rural,Inhabitant
Karnataka,Shivamogga,547,Hosanagara,5518,Adagodi,ಅದಗೊದಿ,transliterated,608015,577452,Rural,Inhabitant
Karnataka,Tumakuru,548,Gubbi,5538,Adagondanahalli,ಅದಗೊಂದನಹಳ್ಳಿ,transliterated,611878,572219,Rural,Inhabitant
