State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Village Code,Pincode,Category,Status
Andhra Pradesh,Vizianagaram,521,Kothavalasa,4834,Sundarayyapeta,,583072,535183,Rural,Inhabitant
Andhra Pradesh,Nandyal,755,Atmakur,5265,Sundipenta,సున్నిపెంట,930986,518442,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Hukumpeta,4846,Sundruputtu,,584448,531077,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Paderu,4847,Sundruputtu,,584660,531024,Rural,Inhabitant
Andhra Pradesh,Kakinada,746,Kirlampudi,4899,Sungarayunipalem,,587259,533431,Rural,Inhabitant
Andhra Pradesh,Anakapalli,744,Kotauratla,4874,Sunkapuru,,586279,531085,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Vajrapukotturu,4781,Sunkara Jaganadhapuram,,580574,532218,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Araku Valley,4844,Sunkarametta,,584073,531149,Rural,Inhabitant
Andhra Pradesh,Kakinada,746,Tallarevu,4930,Sunkarapalem,,587738,533464,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Venkatagiri,5187,Sunkaravaripalle,,592351,524132,Rural,Inhabitant
Andhra Pradesh,Kurnool,511,Kurnool Rural,5259,Sunkesula,,593904,518466,Rural,Inhabitant
Andhra Pradesh,Markapuram,790,Peddaaraveedu,5101,Sunkesula,,590605,523329,Rural,Inhabitant
Andhra Pradesh,Nandyal,755,Midthur,5267,Sunkesula,,594015,518405,Rural,Inhabitant
Andhra Pradesh,Nandyal,755,Owk,5295,Sunkesula,,594492,518196,Rural,Inhabitant
Andhra Pradesh,Y.S.R. Kadapa,504,Simhadripuram,5217,Sunkesula,,593189,516464,Rural,Inhabitant
Andhra Pradesh,Kurnool,511,Mantralayam,5250,Sunkeswari,,593737,518349,Rural,Inhabitant
Andhra Pradesh,Parvathipuram Manyam,743,Garugubilli,4811,Sunki,,582103,535525,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Sompeta,4780,Sunkidi,,580489,532264,Rural,Inhabitant
Andhra Pradesh,Eluru,748,Nuzividu,5003,Sunkollu,,589053,521202,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Palasa,4775,Sunnada,,580262,532221,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Palasa,4775,Sunnadevi,,580273,532222,Rural,Inhabitant
Andhra Pradesh,Ntr,749,Gaddamanugu Konduru,5006,Sunnampadu,,589128,521229,Rural,Inhabitant
Andhra Pradesh,Polavaram,791,Maredumilli,4884,Sunnampadu,,586582,533288,Rural,Inhabitant
Andhra Pradesh,Sri Sathya Sai,754,Obuladevaracheruvu,5358,Sunnampalle,,595464,515561,Rural,Inhabitant
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,Udayagiri,5154,Sunnamvarichintala,,591633,524226,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Munchingi Puttu,4841,Sunnapu Kota,,583479,531040,Rural,Inhabitant
